iso_code,vaccine_id
ABW,V009
AFG,V002
AFG,V008
AFG,V009
AGO,V008
AIA,V008
ALB,V008
ALB,V009
ALB,V015
ALB,V017
AND,V008
AND,V009
ARE,V008
ARE,V009
ARE,V012
ARE,V014
ARE,V017
ARG,V008
ARG,V012
ARG,V017
ARM,V008
ARM,V015
ARM,V017
ATG,V008
AUS,V008
AUS,V009
AUT,V006
AUT,V007
AUT,V008
AUT,V009
AZE,V008
AZE,V015
AZE,V017
BEL,V006
BEL,V007
BEL,V008
BEL,V009
BEN,V008
BEN,V015
BES,V007
BES,V009
BFA,V008
BGD,V008
BGR,V006
BGR,V007
BGR,V008
BGR,V009
BHR,V008
BHR,V009
BHR,V012
BHR,V017
BHS,V008
BIH,V008
BIH,V009
BIH,V015
BIH,V017
BLR,V002
BLR,V017
BLZ,V008
BLZ,V012
BMU,V009
BOL,V008
BOL,V009
BOL,V012
BOL,V017
BRA,V008
BRA,V009
BRA,V015
BRB,V008
BRN,V008
BRN,V012
BTN,V008
BWA,V008
CAF,V004
CAF,V008
CAN,V007
CAN,V008
CAN,V009
CHE,V007
CHE,V009
CHL,V003
CHL,V008
CHL,V009
CHL,V015
CHN,V003
CHN,V012
CHN,V014
CHN,V015
CIV,V008
CMR,V002
CMR,V008
COD,V008
COG,V002
COG,V007
COG,V008
COG,V017
COK,V008
COL,V008
COL,V009
COL,V015
COM,V004
COM,V008
COM,V012
CPV,V008
CPV,V009
CRI,V008
CRI,V009
CUB,V001
CUB,V016
CUW,V007
CUW,V009
CYM,V008
CYM,V009
CYP,V006
CYP,V007
CYP,V008
CYP,V009
CZE,V006
CZE,V007
CZE,V008
CZE,V009
DEU,V006
DEU,V007
DEU,V008
DEU,V009
DJI,V008
DJI,V012
DJI,V017
DMA,V008
DNK,V006
DNK,V007
DNK,V009
DOM,V008
DOM,V009
DOM,V012
DOM,V015
DZA,V008
DZA,V017
ECU,V008
ECU,V009
ECU,V015
EGY,V002
EGY,V008
EGY,V015
EGY,V017
ESP,V006
ESP,V007
ESP,V008
ESP,V009
EST,V006
EST,V007
EST,V008
EST,V009
ETH,V008
FIN,V007
FIN,V008
FIN,V009
FJI,V008
FLK,V008
FRA,V006
FRA,V007
FRA,V008
FRA,V009
FRO,V007
FRO,V009
GAB,V012
GBR,V007
GBR,V008
GBR,V009
GEO,V008
GGY,V007
GGY,V008
GGY,V009
GHA,V008
GHA,V017
GIB,V009
GIN,V017
GMB,V008
GMB,V012
GNB,V008
GNB,V012
GNQ,V012
GRC,V006
GRC,V007
GRC,V008
GRC,V009
GRD,V008
GRL,V007
GTM,V007
GTM,V008
GUY,V008
GUY,V017
HKG,V009
HKG,V015
HND,V006
HND,V007
HND,V008
HND,V017
HRV,V007
HRV,V008
HRV,V009
HUN,V006
HUN,V007
HUN,V008
HUN,V009
HUN,V012
HUN,V017
IDN,V008
IDN,V015
IMN,V008
IMN,V009
IND,V004
IND,V008
IRL,V006
IRL,V007
IRL,V008
IRL,V009
IRN,V002
IRN,V004
IRN,V008
IRN,V017
IRQ,V002
IRQ,V008
IRQ,V009
IRQ,V017
ISL,V006
ISL,V007
ISL,V008
ISL,V009
ISR,V007
ISR,V009
ITA,V006
ITA,V007
ITA,V008
ITA,V009
JAM,V008
JEY,V007
JEY,V008
JEY,V009
JOR,V008
JOR,V009
JOR,V012
JOR,V017
JPN,V007
JPN,V009
KAZ,V010
KAZ,V013
KAZ,V017
KEN,V008
KEN,V017
KGZ,V012
KGZ,V017
KHM,V008
KHM,V012
KHM,V015
KNA,V008
KOR,V006
KOR,V008
KOR,V009
KWT,V009
LAO,V012
LAO,V017
LBN,V008
LBN,V009
LBN,V012
LBN,V017
LBR,V008
LBY,V006
LBY,V007
LBY,V008
LBY,V009
LBY,V015
LBY,V017
LCA,V008
LIE,V007
LIE,V009
LKA,V008
LKA,V012
LKA,V017
LSO,V008
LTU,V006
LTU,V007
LTU,V008
LTU,V009
LUX,V007
LUX,V008
LUX,V009
LVA,V006
LVA,V007
LVA,V008
LVA,V009
MAC,V009
MAC,V012
MAR,V008
MAR,V012
MCO,V009
MDA,V008
MDA,V009
MDA,V012
MDA,V017
MDG,V008
MDV,V008
MDV,V009
MDV,V012
MEX,V003
MEX,V008
MEX,V009
MEX,V015
MEX,V017
MKD,V008
MKD,V009
MKD,V012
MKD,V015
MKD,V017
MLI,V008
MLT,V006
MLT,V007
MLT,V008
MLT,V009
MMR,V008
MNE,V008
MNE,V009
MNE,V012
MNE,V017
MNG,V008
MNG,V009
MNG,V012
MNG,V017
MOZ,V008
MOZ,V012
MRT,V002
MRT,V008
MSR,V008
MUS,V002
MUS,V004
MUS,V008
MWI,V008
MYS,V008
MYS,V009
MYS,V015
NAM,V008
NAM,V012
NCL,V009
NER,V002
NER,V008
NGA,V008
NIC,V008
NIC,V017
NLD,V006
NLD,V007
NLD,V008
NLD,V009
NOR,V007
NOR,V009
NPL,V008
NPL,V012
NRU,V008
NZL,V009
OMN,V008
OMN,V009
OWID_CYN,V008
OWID_CYN,V009
OWID_CYN,V015
OWID_ENG,V007
OWID_ENG,V008
OWID_ENG,V009
OWID_KOS,V008
OWID_NIR,V007
OWID_NIR,V008
OWID_NIR,V009
OWID_SCT,V007
OWID_SCT,V008
OWID_SCT,V009
OWID_WLS,V007
OWID_WLS,V008
OWID_WLS,V009
PAK,V003
PAK,V008
PAK,V012
PAK,V015
PAK,V017
PAN,V008
PAN,V009
PCN,V008
PER,V008
PER,V009
PER,V012
PHL,V008
PHL,V009
PHL,V015
PHL,V017
PNG,V008
PNG,V012
POL,V006
POL,V007
POL,V008
POL,V009
PRT,V006
PRT,V007
PRT,V008
PRT,V009
PRY,V004
PRY,V008
PRY,V012
PRY,V015
PRY,V017
PSE,V007
PSE,V008
PSE,V009
PYF,V008
QAT,V007
QAT,V009
ROU,V006
ROU,V007
ROU,V008
ROU,V009
RUS,V005
RUS,V017
RWA,V007
RWA,V008
RWA,V009
SAU,V008
SAU,V009
SDN,V002
SDN,V008
SDN,V009
SDN,V015
SEN,V002
SEN,V008
SGP,V007
SGP,V009
SHN,V008
SLB,V008
SLE,V002
SLE,V008
SLV,V008
SLV,V009
SLV,V015
SMR,V009
SMR,V017
SOM,V002
SOM,V008
SOM,V015
SRB,V008
SRB,V009
SRB,V012
SRB,V017
SSD,V008
STP,V008
SUR,V008
SVK,V007
SVK,V008
SVK,V009
SVN,V008
SVN,V009
SWE,V008
SWE,V009
SWZ,V008
SXM,V007
SXM,V008
SXM,V009
SYC,V008
SYC,V012
SYR,V008
SYR,V012
SYR,V017
TCA,V009
TCD,V002
TGO,V008
THA,V008
THA,V015
TJK,V008
TKM,V005
TKM,V008
TKM,V012
TKM,V017
TLS,V008
TLS,V015
TON,V008
TTO,V008
TUN,V008
TUN,V009
TUN,V015
TUN,V017
TUR,V009
TUR,V015
TUV,V008
TWN,V007
TWN,V008
UGA,V008
UKR,V008
UKR,V009
UKR,V015
URY,V008
URY,V009
URY,V015
