location,date,vaccine_name,total_vaccinations
Austria,1/5/2021,Johnson&Johnson,0
Austria,1/5/2021,Moderna,0
Austria,1/5/2021,Oxford/AstraZeneca,0
Austria,1/5/2021,Pfizer/BioNTech,30885
Austria,1/12/2021,Johnson&Johnson,0
Austria,1/12/2021,Moderna,88
Austria,1/12/2021,Oxford/AstraZeneca,0
Austria,1/12/2021,Pfizer/BioNTech,115203
Austria,1/19/2021,Johnson&Johnson,0
Austria,1/19/2021,Moderna,298
Austria,1/19/2021,Oxford/AstraZeneca,0
Austria,1/19/2021,Pfizer/BioNTech,212305
Austria,1/26/2021,Johnson&Johnson,0
Austria,1/26/2021,Moderna,4151
Austria,1/26/2021,Oxford/AstraZeneca,0
Austria,1/26/2021,Pfizer/BioNTech,256875
Austria,2/2/2021,Johnson&Johnson,0
Austria,2/2/2021,Moderna,5830
Austria,2/2/2021,Oxford/AstraZeneca,1
Austria,2/2/2021,Pfizer/BioNTech,351951
Austria,2/9/2021,Johnson&Johnson,0
Austria,2/9/2021,Moderna,9891
Austria,2/9/2021,Oxford/AstraZeneca,10755
Austria,2/9/2021,Pfizer/BioNTech,452704
Austria,2/16/2021,Johnson&Johnson,0
Austria,2/16/2021,Moderna,14011
Austria,2/16/2021,Oxford/AstraZeneca,43438
Austria,2/16/2021,Pfizer/BioNTech,518138
Austria,2/23/2021,Johnson&Johnson,0
Austria,2/23/2021,Moderna,22263
Austria,2/23/2021,Oxford/AstraZeneca,101085
Austria,2/23/2021,Pfizer/BioNTech,579023
Austria,3/2/2021,Johnson&Johnson,0
Austria,3/2/2021,Moderna,31481
Austria,3/2/2021,Oxford/AstraZeneca,155673
Austria,3/2/2021,Pfizer/BioNTech,682880
Austria,3/9/2021,Johnson&Johnson,0
Austria,3/9/2021,Moderna,46774
Austria,3/9/2021,Oxford/AstraZeneca,233414
Austria,3/9/2021,Pfizer/BioNTech,845634
Austria,3/16/2021,Johnson&Johnson,13
Austria,3/16/2021,Moderna,78464
Austria,3/16/2021,Oxford/AstraZeneca,306254
Austria,3/16/2021,Pfizer/BioNTech,977617
Austria,3/23/2021,Johnson&Johnson,20
Austria,3/23/2021,Moderna,103756
Austria,3/23/2021,Oxford/AstraZeneca,380959
Austria,3/23/2021,Pfizer/BioNTech,1122766
Austria,3/30/2021,Johnson&Johnson,30
Austria,3/30/2021,Moderna,139889
Austria,3/30/2021,Oxford/AstraZeneca,419240
Austria,3/30/2021,Pfizer/BioNTech,1269800
Austria,4/6/2021,Johnson&Johnson,49
Austria,4/6/2021,Moderna,179191
Austria,4/6/2021,Oxford/AstraZeneca,508701
Austria,4/6/2021,Pfizer/BioNTech,1490193
Austria,4/13/2021,Johnson&Johnson,51
Austria,4/13/2021,Moderna,221397
Austria,4/13/2021,Oxford/AstraZeneca,603500
Austria,4/13/2021,Pfizer/BioNTech,1722273
Austria,4/20/2021,Johnson&Johnson,56
Austria,4/20/2021,Moderna,258484
Austria,4/20/2021,Oxford/AstraZeneca,651932
Austria,4/20/2021,Pfizer/BioNTech,1984293
Austria,4/27/2021,Johnson&Johnson,303
Austria,4/27/2021,Moderna,297193
Austria,4/27/2021,Oxford/AstraZeneca,693775
Austria,4/27/2021,Pfizer/BioNTech,2256013
Austria,5/4/2021,Johnson&Johnson,6376
Austria,5/4/2021,Moderna,346026
Austria,5/4/2021,Oxford/AstraZeneca,756086
Austria,5/4/2021,Pfizer/BioNTech,2584232
Austria,5/11/2021,Johnson&Johnson,13287
Austria,5/11/2021,Moderna,395369
Austria,5/11/2021,Oxford/AstraZeneca,819540
Austria,5/11/2021,Pfizer/BioNTech,2881525
Austria,5/18/2021,Johnson&Johnson,25457
Austria,5/18/2021,Moderna,462582
Austria,5/18/2021,Oxford/AstraZeneca,896300
Austria,5/18/2021,Pfizer/BioNTech,3256490
Austria,5/25/2021,Johnson&Johnson,37484
Austria,5/25/2021,Moderna,515447
Austria,5/25/2021,Oxford/AstraZeneca,978211
Austria,5/25/2021,Pfizer/BioNTech,3589862
