country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
Afghanistan,AFG,2/22/2021,0,0,0,0,0,0,0,0,0,"BBIBP-CorV, Oxford/AstraZeneca, Pfizer/BioNTech",World Health Organization,https://covid19.who.int/
Afghanistan,AFG,2/23/2021,0,0,0,0,1367,0,0,0,35,"BBIBP-CorV, Oxford/AstraZeneca, Pfizer/BioNTech",World Health Organization,https://covid19.who.int/
Afghanistan,AFG,2/24/2021,0,0,0,0,1367,0,0,0,35,"BBIBP-CorV, Oxford/AstraZeneca, Pfizer/BioNTech",World Health Organization,https://covid19.who.int/
Afghanistan,AFG,2/25/2021,0,0,0,0,1367,0,0,0,35,"BBIBP-CorV, Oxford/AstraZeneca, Pfizer/BioNTech",World Health Organization,https://covid19.who.int/
Afghanistan,AFG,2/26/2021,0,0,0,0,1367,0,0,0,35,"BBIBP-CorV, Oxford/AstraZeneca, Pfizer/BioNTech",World Health Organization,https://covid19.who.int/
Afghanistan,AFG,2/27/2021,0,0,0,0,1367,0,0,0,35,"BBIBP-CorV, Oxford/AstraZeneca, Pfizer/BioNTech",World Health Organization,https://covid19.who.int/
Afghanistan,AFG,2/28/2021,8200,8200,0,0,1367,0.02,0.02,0,35,"BBIBP-CorV, Oxford/AstraZeneca, Pfizer/BioNTech",World Health Organization,https://covid19.who.int/
Afghanistan,AFG,3/1/2021,0,0,0,0,1580,0,0,0,41,"BBIBP-CorV, Oxford/AstraZeneca, Pfizer/BioNTech",World Health Organization,https://covid19.who.int/
Afghanistan,AFG,3/2/2021,0,0,0,0,1794,0,0,0,46,"BBIBP-CorV, Oxford/AstraZeneca, Pfizer/BioNTech",World Health Organization,https://covid19.who.int/
Afghanistan,AFG,3/3/2021,0,0,0,0,2008,0,0,0,52,"BBIBP-CorV, Oxford/AstraZeneca, Pfizer/BioNTech",World Health Organization,https://covid19.who.int/
Afghanistan,AFG,3/4/2021,0,0,0,0,2221,0,0,0,57,"BBIBP-CorV, Oxford/AstraZeneca, Pfizer/BioNTech",World Health Organization,https://covid19.who.int/
Afghanistan,AFG,3/5/2021,0,0,0,0,2435,0,0,0,63,"BBIBP-CorV, Oxford/AstraZeneca, Pfizer/BioNTech",World Health Organization,https://covid19.who.int/
Afghanistan,AFG,3/6/2021,0,0,0,0,2649,0,0,0,68,"BBIBP-CorV, Oxford/AstraZeneca, Pfizer/BioNTech",World Health Organization,https://covid19.who.int/
Afghanistan,AFG,3/7/2021,0,0,0,0,2862,0,0,0,74,"BBIBP-CorV, Oxford/AstraZeneca, Pfizer/BioNTech",World Health Organization,https://covid19.who.int/
Afghanistan,AFG,3/8/2021,0,0,0,0,2862,0,0,0,74,"BBIBP-CorV, Oxford/AstraZeneca, Pfizer/BioNTech",World Health Organization,https://covid19.who.int/
Afghanistan,AFG,3/9/2021,0,0,0,0,2862,0,0,0,74,"BBIBP-CorV, Oxford/AstraZeneca, Pfizer/BioNTech",World Health Organization,https://covid19.who.int/
Afghanistan,AFG,3/10/2021,0,0,0,0,2862,0,0,0,74,"BBIBP-CorV, Oxford/AstraZeneca, Pfizer/BioNTech",World Health Organization,https://covid19.who.int/
Afghanistan,AFG,3/11/2021,0,0,0,0,2862,0,0,0,74,"BBIBP-CorV, Oxford/AstraZeneca, Pfizer/BioNTech",World Health Organization,https://covid19.who.int/
Afghanistan,AFG,3/12/2021,0,0,0,0,2862,0,0,0,74,"BBIBP-CorV, Oxford/AstraZeneca, Pfizer/BioNTech",World Health Organization,https://covid19.who.int/
Afghanistan,AFG,3/13/2021,0,0,0,0,2862,0,0,0,74,"BBIBP-CorV, Oxford/AstraZeneca, Pfizer/BioNTech",World Health Organization,https://covid19.who.int/
Afghanistan,AFG,3/14/2021,0,0,0,0,2862,0,0,0,74,"BBIBP-CorV, Oxford/AstraZeneca, Pfizer/BioNTech",World Health Organization,https://covid19.who.int/
Afghanistan,AFG,3/15/2021,0,0,0,0,2862,0,0,0,74,"BBIBP-CorV, Oxford/AstraZeneca, Pfizer/BioNTech",World Health Organization,https://covid19.who.int/
Afghanistan,AFG,3/16/2021,54000,54000,0,0,2862,0.14,0.14,0,74,"BBIBP-CorV, Oxford/AstraZeneca, Pfizer/BioNTech",World Health Organization,https://covid19.who.int/
Afghanistan,AFG,3/17/2021,0,0,0,0,2882,0,0,0,74,"BBIBP-CorV, Oxford/AstraZeneca, Pfizer/BioNTech",World Health Organization,https://covid19.who.int/
Afghanistan,AFG,3/18/2021,0,0,0,0,2902,0,0,0,75,"BBIBP-CorV, Oxford/AstraZeneca, Pfizer/BioNTech",World Health Organization,https://covid19.who.int/
Afghanistan,AFG,3/19/2021,0,0,0,0,2921,0,0,0,75,"BBIBP-CorV, Oxford/AstraZeneca, Pfizer/BioNTech",World Health Organization,https://covid19.who.int/
Afghanistan,AFG,3/20/2021,0,0,0,0,2941,0,0,0,76,"BBIBP-CorV, Oxford/AstraZeneca, Pfizer/BioNTech",World Health Organization,https://covid19.who.int/
Afghanistan,AFG,3/21/2021,0,0,0,0,2961,0,0,0,76,"BBIBP-CorV, Oxford/AstraZeneca, Pfizer/BioNTech",World Health Organization,https://covid19.who.int/
Afghanistan,AFG,3/22/2021,0,0,0,0,2980,0,0,0,77,"BBIBP-CorV, Oxford/AstraZeneca, Pfizer/BioNTech",World Health Organization,https://covid19.who.int/
Afghanistan,AFG,3/23/2021,0,0,0,0,3000,0,0,0,77,"BBIBP-CorV, Oxford/AstraZeneca, Pfizer/BioNTech",World Health Organization,https://covid19.who.int/
Afghanistan,AFG,3/24/2021,0,0,0,0,3000,0,0,0,77,"BBIBP-CorV, Oxford/AstraZeneca, Pfizer/BioNTech",World Health Organization,https://covid19.who.int/
Afghanistan,AFG,3/25/2021,0,0,0,0,3000,0,0,0,77,"BBIBP-CorV, Oxford/AstraZeneca, Pfizer/BioNTech",World Health Organization,https://covid19.who.int/
Afghanistan,AFG,3/26/2021,0,0,0,0,3000,0,0,0,77,"BBIBP-CorV, Oxford/AstraZeneca, Pfizer/BioNTech",World Health Organization,https://covid19.who.int/
Afghanistan,AFG,3/27/2021,0,0,0,0,3000,0,0,0,77,"BBIBP-CorV, Oxford/AstraZeneca, Pfizer/BioNTech",World Health Organization,https://covid19.who.int/
Afghanistan,AFG,3/28/2021,0,0,0,0,3000,0,0,0,77,"BBIBP-CorV, Oxford/AstraZeneca, Pfizer/BioNTech",World Health Organization,https://covid19.who.int/
Afghanistan,AFG,3/29/2021,0,0,0,0,3000,0,0,0,77,"BBIBP-CorV, Oxford/AstraZeneca, Pfizer/BioNTech",World Health Organization,https://covid19.who.int/
