source_id,source_name,source_website
S001,World Health Organization,https://covid19.who.int/
S002,Ministry of Health,https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-880912-vaksinime/
S003,Ministry of Health,https://english.aawsat.com/home/article/3013471/muslim-brotherhood-parties-hope-sweep-algeria-elections
S004,Government of Andorra,https://www.govern.ad/covid19_newsletter/
S005,Ministry of Health,https://covid19.gov.ag
S006,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina
S007,Ministry of Health,https://www.panarmenian.net/eng/news/293562/Over_55000_Covid_vaccine_doses_administered_in_Armenia
S008,Government of Aruba,https://www.government.aw
S009,Government of Australia via covidlive.com.au,https://covidlive.com.au/vaccinations
S010,Ministry of Health,https://info.gesundheitsministerium.gv.at/opendata/
S011,Government of Azerbaijan,https://koronavirusinfo.az
S012,Government of the Bahamas,https://www.facebook.com/opmbs/photos/a.138602006861785/832605630794749/
S013,Ministry of Health,https://healthalert.gov.bh/en/
S014,Directorate General of Health Services,http://103.247.238.92/webportal/pages/covid19-vaccination-update.php
S015,Ministry of Health,https://www.facebook.com/moh.barbados/photos/a.768944336470972/4303800389651998/
S016,Sciensano,https://epistat.wiv-isp.be/covid/
S017,Ministry of Health,https://www.facebook.com/Belizehealth/photos/a.1410495949248816/2708178559480542/
S018,Ministry of Health,https://covid19.who.int/
S019,Government of Bermuda,https://bernews.com/2021/06/june1520215-30pm-video-govt-covid-19-press-conference/
S020,World Health Organization,https://www.facebook.com/MoHBhutan/photos/a.999012646827018/4203792293015688/
S021,Ministry of Health,https://www.boliviasegura.gob.bo/index.php/category/estadistica/
S022,Public Health Institute,https://www.faktor.ba/vijest/novalic-potpisan-ugovor-za-nabavku-500000-doza-vakcina-sinofarm/128063
S023,Ministry of Health and Wellness,https://twitter.com/BWGovernment/status/1403023571757277192
S024,Ministry of Health,https://qsprod.saude.gov.br/extensions/DEMAS_C19Vacina/DEMAS_C19Vacina.html
S025,Ministry of Health,https://www.facebook.com/MOHBrunei/photos/pcb.3892198150908522/3892198100908527/
S026,Ministry of Health,https://coronavirus.bg/bg/statistika
S027,Ministry of Health,https://www.facebook.com/MinistryofHealthofCambodia/posts/4136652739707134
S028,Official data from provinces via covid19tracker.ca,https://covid19tracker.ca/vaccinationtracker.html
S029,Cayman Islands Government,https://www.exploregov.ky/coronavirus-statistics
S030,Department of Statistics and Health Information via github.com/juancri/covid19-vaccination,https://www.gob.cl/yomevacuno/
S031,National Health Commission,http://www.nhc.gov.cn/xcs/yqjzqk/202106/ddd7b535796040ed8b86f9e34fd218bb.shtml
S032,Ministry of Health,https://docs.google.com/spreadsheets/d/1eblBeozGn1soDGXbOIicwyEDkUqNMzzpJoAKw84TTA4
S033,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
S034,Costa Rican Social Security Fund,https://www.ccss.sa.cr/web/coronavirus/vacunacion
S035,Ministry of Health and Public Hygiene,https://www.facebook.com/mshpcmu/posts/1932855310213487
S036,Ministry of Health,https://www.koronavirus.hr
S037,Ministry of Health,https://salud.msp.gob.cu/actualizacion-de-la-vacunacion-en-el-marco-de-los-estudios-de-los-candidatos-vacunales-cubanos-y-la-intervencion-sanitaria/
S038,Government of Curacao,https://bakuna.cw/
S039,Ministry of Health,https://www.moh.gov.cy/moh/moh.nsf/All/0EFA027144C9E54AC22586BE0032B2F5
S040,Ministry of Health,https://onemocneni-aktualne.mzcr.cz/covid-19
S041,Statens Serum Institute,https://covid19.ssi.dk/overvagningsdata/download-fil-med-vaccinationsdata
S042,Government of Dominica,https://dominica.gov.dm/images/coronavirus/June_14-th-Dominica-coronavirus-update.jpg
S043,Ministry of Public Health,https://vacunate.gob.do/
S044,Government of Ecuador via Ecuacovid,https://github.com/andrab/ecuacovid
S045,Ministry of Health,https://covid19.gob.sv/
S046,Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
S047,Ministry of Health,https://guineasalud.org/estadisticas/
S048,National Health Board,https://opendata.digilugu.ee
S049,Government of Eswatini,https://twitter.com/EswatiniGovern1/status/1392874186671075331
S050,Ministry of Health,https://twitter.com/FMoHealth/status/1405944478603546626
S051,Government of the Faeroe Islands,https://corona.fo/api
S052,Government of the Falkland Islands,https://www.facebook.com/FalkIandsGov/posts/4401230323224594
S053,Finnish Institute for Health and Welfare,https://sampo.thl.fi/pivot/prod/en/vaccreg/cov19cov/fact_cov19cov?column=measure-533185.533172.433796.533175&row=cov_vac_dose-533174L
S054,Public Health France,https://www.data.gouv.fr/fr/datasets/donnees-relatives-aux-personnes-vaccinees-contre-la-covid-19-1/
S055,Ministry of Health,https://monitoring-covid19gabon.ga/
S056,Government of Georgia,https://www.facebook.com/ncdcgeorgia/photos/a.126526410768631/4101512559936643/
S057,Robert Koch Institut,https://impfdashboard.de/
S058,Government of Gibraltar,https://twitter.com/GibraltarGov/status/1403686370242084865
S059,Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
S060,Government of Greenland,https://corona.nun.gl/emner/statistik/antal_vaccinerede
S061,Ministry of Health,https://gtmvigilanciacovid.shinyapps.io/3869aac0fb95d6baf2c80f19f2da5f98
S062,Government of Guernsey,https://covid19.gov.gg/guidance/vaccine/stats
S063,National Health Security Agency,https://twitter.com/anss_guinee/status/1405791824778825734
