country,date,people_vaccinated_per_hundred,predicted,error,abs error
Slovenia,2021-05-25,30.53,26.898435664963632,3.6315643350363693,3.6315643350363693
Maldives,2021-05-25,56.97,50.019318650696164,6.950681349303835,6.950681349303835
Somalia,2021-05-25,0.79,5.14527381134695,-4.35527381134695,4.35527381134695
Ghana,2021-05-25,2.73,11.459383667137079,-8.729383667137078,8.729383667137078
Saint Kitts and Nevis,2021-05-25,29.36,25.855622443942696,3.504377556057303,3.504377556057303
Paraguay,2021-05-25,3.97,11.475386641600455,-7.505386641600454,7.505386641600454
North Macedonia,2021-05-25,10.6,13.031457027722844,-2.4314570277228444,2.4314570277228444
Bhutan,2021-05-25,62.55,65.16452988172571,-2.6145298817257157,2.6145298817257157
Moldova,2021-05-25,7.47,11.303591807236629,-3.833591807236629,3.833591807236629
Sweden,2021-05-25,35.7,27.37782755685551,8.322172443144492,8.322172443144492
El Salvador,2021-05-25,17.11,16.648562818275774,0.4614371817242251,0.4614371817242251
Bangladesh,2021-05-25,3.54,15.697142926676552,-12.157142926676553,12.157142926676553
Cayman Islands,2021-05-25,64.7,45.5291251920909,19.1708748079091,19.1708748079091
Uganda,2021-05-25,1.17,9.145548067632436,-7.975548067632436,7.975548067632436
Jersey,2021-05-25,58.76,56.311953734125865,2.448046265874133,2.448046265874133
Northern Cyprus,2021-05-25,19.54,21.960531264808967,-2.420531264808968,2.420531264808968
Gambia,2021-05-25,1.07,9.226469120264056,-8.156469120264056,8.156469120264056
Colombia,2021-05-25,10.69,14.884500318275858,-4.194500318275859,4.194500318275859
Bahamas,2021-05-25,11.25,12.743349357259845,-1.493349357259845,1.493349357259845
Guinea-Bissau,2021-05-25,0.3,1.9430587602939795,-1.6430587602939795,1.6430587602939795
Venezuela,2021-05-25,1.11,11.289396151609143,-10.179396151609144,10.179396151609144
Ireland,2021-05-25,35.12,26.914823073615,8.205176926384997,8.205176926384997
Solomon Islands,2021-05-25,1.91,7.653469681909808,-5.743469681909808,5.743469681909808
Sao Tome and Principe,2021-05-25,5.65,11.832933586036539,-6.182933586036539,6.182933586036539
Monaco,2021-05-25,39.98,32.79834068828977,7.181659311710227,7.181659311710227
Denmark,2021-05-25,33.43,28.279611285103453,5.150388714896547,5.150388714896547
Bosnia and Herzegovina,2021-05-25,5.76,12.304058381236441,-6.544058381236441,6.544058381236441
Philippines,2021-05-25,3.16,10.638925119500385,-7.478925119500385,7.478925119500385
Angola,2021-05-25,1.92,10.333550333803846,-8.413550333803846,8.413550333803846
Liberia,2021-05-25,1.06,2.4430587602404827,-1.3830587602404827,1.3830587602404827
Ethiopia,2021-05-25,1.49,6.1890644142077385,-4.699064414207738,4.699064414207738
Egypt,2021-05-25,1.77,13.759831834833136,-11.989831834833137,11.989831834833137
Nigeria,2021-05-25,0.94,9.634709304833798,-8.694709304833799,8.694709304833799
