iso_code,country,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccine_id,vaccine_names,source_id,source_name,source_website,dropout_date,vaccine_count,coverage_group,daily_vaccination_7d_avg,vaccination_momentum
NOR,Norway,2020-12-02,0,0,0,0,0,0.0,0.0,0.0,0,"V007, V009","Moderna, Pfizer/BioNTech",S106,Norwegian Institute of Public Health,https://www.fhi.no/sv/vaksine/koronavaksinasjonsprogrammet/koronavaksinasjonsstatistikk/,0.0,2,Low,0.0,0.0
NOR,Norway,2020-12-03,0,0,0,0,0,0.0,0.0,0.0,0,"V007, V009","Moderna, Pfizer/BioNTech",S106,Norwegian Institute of Public Health,https://www.fhi.no/sv/vaksine/koronavaksinasjonsprogrammet/koronavaksinasjonsstatistikk/,0.0,2,Low,48.0,0.0
NOR,Norway,2020-12-04,0,0,0,0,0,0.0,0.0,0.0,0,"V007, V009","Moderna, Pfizer/BioNTech",S106,Norwegian Institute of Public Health,https://www.fhi.no/sv/vaksine/koronavaksinasjonsprogrammet/koronavaksinasjonsstatistikk/,0.0,2,Low,136.14285714285714,0.0
NOR,Norway,2020-12-05,0,0,0,0,0,0.0,0.0,0.0,0,"V007, V009","Moderna, Pfizer/BioNTech",S106,Norwegian Institute of Public Health,https://www.fhi.no/sv/vaksine/koronavaksinasjonsprogrammet/koronavaksinasjonsstatistikk/,0.0,2,Low,135.85714285714286,0.0
NOR,Norway,2020-12-06,0,0,0,0,0,0.0,0.0,0.0,0,"V007, V009","Moderna, Pfizer/BioNTech",S106,Norwegian Institute of Public Health,https://www.fhi.no/sv/vaksine/koronavaksinasjonsprogrammet/koronavaksinasjonsstatistikk/,0.0,2,Low,123.14285714285714,0.0
NOR,Norway,2020-12-07,0,0,0,0,0,0.0,0.0,0.0,0,"V007, V009","Moderna, Pfizer/BioNTech",S106,Norwegian Institute of Public Health,https://www.fhi.no/sv/vaksine/koronavaksinasjonsprogrammet/koronavaksinasjonsstatistikk/,0.0,2,Low,88.57142857142857,0.0
NOR,Norway,2020-12-08,0,0,0,0,0,0.0,0.0,0.0,0,"V007, V009","Moderna, Pfizer/BioNTech",S106,Norwegian Institute of Public Health,https://www.fhi.no/sv/vaksine/koronavaksinasjonsprogrammet/koronavaksinasjonsstatistikk/,0.0,2,Low,88.57142857142857,0.0
NOR,Norway,2020-12-09,0,0,0,0,0,0.0,0.0,0.0,0,"V007, V009","Moderna, Pfizer/BioNTech",S106,Norwegian Institute of Public Health,https://www.fhi.no/sv/vaksine/koronavaksinasjonsprogrammet/koronavaksinasjonsstatistikk/,0.0,2,Low,45.0,0.0
OWID_SCT,Scotland,2020-12-10,10643,10642,1,0,0,0.19,0.19,0.0,0,"V007, V008, V009","Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",S046,Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare,99.99060327006202,3,Low,4033.285714285714,0.0
NOR,Norway,2020-12-10,0,0,0,0,0,0.0,0.0,0.0,0,"V007, V009","Moderna, Pfizer/BioNTech",S106,Norwegian Institute of Public Health,https://www.fhi.no/sv/vaksine/koronavaksinasjonsprogrammet/koronavaksinasjonsstatistikk/,0.0,2,Low,1609.857142857143,0.0
OWID_SCT,Scotland,2020-12-11,15908,15907,1,5265,5265,0.29,0.29,0.0,964,"V007, V008, V009","Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",S046,Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare,99.99371345948325,3,Low,4348.285714285715,33.09655519235605
NOR,Norway,2020-12-11,0,0,0,0,0,0.0,0.0,0.0,0,"V007, V009","Moderna, Pfizer/BioNTech",S106,Norwegian Institute of Public Health,https://www.fhi.no/sv/vaksine/koronavaksinasjonsprogrammet/koronavaksinasjonsstatistikk/,0.0,2,Low,1576.428571428571,0.0
